URLs,Class
freebase.com/view/en/bob_sirois,good
en.wikipedia.org/wiki/Joie_Lee,good
pipl.com/directory/people/Rejean/Beaudin,good
flickr.com/photos/teneyck/sets/72157610336209297/,good
ussoccer.com/News/Federation-Services/2009/06/University-Of-Miami-President-Donna-E-Shalala-Joins-Team-To-Bring-FIFA-World-Cup-To-United-States-In.aspx,good
youtube.com/watch?v=wjQcuUyfMY0,good
westchurchballymena.org/,good
tv.yahoo.com/show/45343/castcrew,good
duckduckgo.com/1/c/Canadian_mathematicians,good
ossd.wikia.com/wiki/Category:Ahuntsic_College,good
brokeasaspoke.com/daily-dollars-november-6-thru-12/,good
jerseyshows.com/,good
books.google.com/books/about/Municipal_housecleaning.html?id=fggKAAAAIAAJ,good
trailsidegalleries.com/PopUp.cfm?inc=artists/showart.cfm&artid=7541&namefull=Andrew%20Peters&arttitle=Mount%20Rundle%20&%20Bow%20River,good
liquida.com/stu-lantz/,good
anthonysummers.bestbuyfoshoppingforsales.com/,good
alaska.net/~thomsen/d0031/g0000072.html,good
evri.com/person/matt-darby-0x39fee3,good
bothteamsplayedhard.net/2009/01/26/jalen-rose-and-jimmy-walker/,good
marathimovieworld.com/moviedetail/anolakhi-he-ghar-majhe.php,good
wagner.nyu.edu/faculty/schall.html,good
blog.sudeepaudio.com/?p=98,good
themontrealcanadians.com/bernie_geoffrion.htm,good
firedepartmentdirectory.com/location/County-Fire-Departments.aspx?state=Washington&county=Yakima,good
teenax.tv/free/movies/cory/everson.html,good
consciousmusicentertainment.biz/Skyler_Jett___Positive_Music_Association___.html,good
comingsoon.net/news/movienews.php?id=79284,good
badminton2008.com/938fhnr3?kqgqaEa=vSwtSiemz,bad
collegebasketball.rivals.com/content.asp?CID=1291236,good
imdb.com/name/nm0472595/,good
weather.uk.msn.com/region.aspx?wealocations=Northern%20Ireland,good
usidentify.com/l/boag,good
eagleeyestaffing.com/,good
beyondchron.org/news/index.php?itemid=3301,good
perfectpeople.net/celebrity-star/782/chris-benoit.htm,good
facebook.com/hubert.helene,good
tvtango.com/series/mullets,good
twitchfilm.com/interviews/2010/09/jacob-tierney-talks-good-neighbours.php,good
local.yahoo.com/info-24380767-hunt-marlene-house-of-insurance-le-center,good
